,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Some Text
460,37,male,2,own,little,little,3620,36,furniture/equipment,Some Text
461,36,male,2,own,little,little,1721,15,car,Some Text
462,34,female,3,rent,little,moderate,3017,12,furniture/equipment,Some Text
463,38,male,2,own,NA,moderate,754,12,education,Some Text
464,34,male,2,own,little,NA,1950,18,business,Some Text
465,63,male,2,own,little,little,2924,24,car,Some Text
466,29,female,1,rent,little,little,1659,24,radio/TV,Some Text
467,32,male,2,own,NA,NA,7238,48,radio/TV,Some Text
468,26,female,2,own,little,NA,2764,33,business,Some Text
469,35,male,1,own,little,NA,4679,24,car,Some Text
470,22,male,2,rent,moderate,moderate,3092,24,radio/TV,Some Text
471,23,female,2,own,little,little,448,6,education,Some Text
472,28,male,1,own,little,little,654,9,car,Some Text
473,36,male,3,own,NA,NA,1238,6,education,Some Text
474,33,male,2,own,little,moderate,1245,18,radio/TV,Some Text
475,26,female,2,rent,little,little,3114,18,furniture/equipment,Some Text
476,24,male,2,own,quite rich,NA,2569,39,car,Some Text
477,25,male,2,own,little,rich,5152,24,radio/TV,Some Text
478,39,male,1,own,moderate,moderate,1037,12,business,Some Text
479,44,male,2,own,little,little,1478,15,furniture/equipment,Some Text
480,23,female,1,own,little,moderate,3573,12,radio/TV,Some Text
481,26,male,2,own,little,moderate,1201,24,car,Some Text
482,57,female,2,rent,rich,little,3622,30,furniture/equipment,Some Text
483,30,female,2,own,rich,NA,960,15,furniture/equipment,Some Text
484,44,male,2,own,quite rich,NA,1163,12,car,Some Text
485,47,male,3,own,little,moderate,1209,6,car,Some Text
486,52,male,2,own,little,NA,3077,12,radio/TV,Some Text
487,62,female,2,free,little,NA,3757,24,car,Some Text
488,35,male,1,rent,moderate,NA,1418,10,car,Some Text
489,26,male,2,rent,little,NA,3518,6,car,Some Text
490,26,male,2,own,little,NA,1934,12,radio/TV,Some Text
491,42,female,3,free,little,moderate,8318,27,business,Some Text
492,27,female,2,own,moderate,NA,1237,6,radio/TV,Some Text
493,38,male,2,own,NA,moderate,368,6,radio/TV,Some Text
494,39,male,1,rent,little,little,2122,12,car,Some Text
495,20,male,2,own,NA,little,2996,24,furniture/equipment,Some Text
496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,Some Text
497,40,male,2,own,little,NA,1585,24,furniture/equipment,Some Text
498,32,male,1,own,little,moderate,1301,18,radio/TV,Some Text
499,28,male,2,own,moderate,rich,1323,6,car,Some Text
500,27,female,2,own,little,little,3123,24,car,Some Text
501,42,male,2,free,little,little,5493,36,car,Some Text
502,49,male,2,own,moderate,rich,1126,9,radio/TV,Some Text
503,38,male,2,own,moderate,moderate,1216,24,radio/TV,Some Text
504,24,female,2,rent,little,little,1207,24,car,Some Text
505,27,male,1,own,NA,NA,1309,10,car,Some Text
506,36,male,2,own,quite rich,rich,2360,15,car,Some Text
507,34,male,3,own,moderate,moderate,6850,15,car,Some Text
508,28,male,2,own,little,NA,1413,24,radio/TV,Some Text
509,45,male,3,own,moderate,NA,8588,39,car,Some Text
510,26,male,2,own,little,little,759,12,car,Some Text
511,32,male,3,free,little,NA,4686,36,car,Some Text
512,26,male,2,rent,little,rich,2687,15,business,Some Text
513,20,male,2,rent,little,moderate,585,12,radio/TV,Some Text
514,54,male,2,own,NA,NA,2255,24,car,Some Text
515,37,female,2,own,little,little,609,6,car,Some Text
516,40,male,1,own,little,little,1361,6,car,Some Text
517,23,female,2,rent,little,NA,7127,36,furniture/equipment,Some Text
518,43,male,2,own,moderate,little,1203,6,car,Some Text
519,36,male,2,free,NA,NA,700,6,radio/TV,Some Text
520,44,male,2,free,little,NA,5507,24,repairs,Some Text
521,24,female,2,own,little,little,3190,18,radio/TV,Some Text
522,53,male,2,free,little,little,7119,48,furniture/equipment,Some Text
523,23,female,2,own,moderate,NA,3488,24,car,Some Text
524,26,female,1,own,little,moderate,1113,18,radio/TV,Some Text
525,30,male,2,own,little,moderate,7966,26,car,Some Text
526,31,female,2,own,moderate,NA,1532,15,education,Some Text
527,42,male,1,own,little,NA,1503,4,radio/TV,Some Text
528,31,male,2,rent,little,little,2302,36,radio/TV,Some Text
529,41,male,1,own,little,little,662,6,car,Some Text
530,32,male,2,own,little,moderate,2273,36,education,Some Text
531,28,female,2,rent,moderate,moderate,2631,15,car,Some Text
532,41,male,2,rent,little,NA,1503,12,car,Some Text
533,26,male,2,own,moderate,NA,1311,24,radio/TV,Some Text
534,25,male,2,own,NA,NA,3105,24,radio/TV,Some Text
535,33,male,2,rent,little,rich,2319,21,education,Some Text
536,75,female,3,own,NA,little,1374,6,car,Some Text
537,37,female,2,own,little,moderate,3612,18,furniture/equipment,Some Text
538,42,male,3,free,little,little,7763,48,car,Some Text
539,45,female,1,own,little,rich,3049,18,furniture/equipment,Some Text
540,23,male,2,rent,little,moderate,1534,12,radio/TV,Some Text
541,60,male,2,free,little,NA,2032,24,car,Some Text
542,31,male,2,own,NA,little,6350,30,furniture/equipment,Some Text
543,34,male,1,own,little,rich,2864,18,furniture/equipment,Some Text
544,61,male,1,own,little,NA,1255,12,car,Some Text
545,43,male,2,free,little,little,1333,24,car,Some Text
546,37,female,2,own,little,NA,2022,24,car,Some Text
547,32,male,2,own,little,NA,1552,24,radio/TV,Some Text
548,24,female,1,own,little,little,626,12,radio/TV,Some Text
549,35,male,2,free,NA,NA,8858,48,car,Some Text
550,23,female,2,own,NA,NA,996,12,repairs,Some Text
551,45,male,1,own,quite rich,NA,1750,6,radio/TV,Some Text
552,34,male,2,own,little,little,6999,48,radio/TV,Some Text
553,27,male,2,own,moderate,moderate,1995,12,car,Some Text
554,67,female,3,own,little,moderate,1199,9,education,Some Text
555,22,male,2,own,little,moderate,1331,12,radio/TV,Some Text
556,28,female,2,own,moderate,moderate,2278,18,car,Some Text
557,29,female,2,own,NA,NA,5003,21,car,Some Text
558,27,male,2,own,little,little,3552,24,furniture/equipment,Some Text
559,31,male,1,own,little,moderate,1928,18,furniture/equipment,Some Text
560,49,male,2,free,NA,little,2964,24,car,Some Text
561,24,male,1,rent,little,little,1546,24,radio/TV,Some Text
562,29,female,2,own,little,rich,683,6,radio/TV,Some Text
563,37,male,2,free,NA,moderate,12389,36,car,Some Text
564,37,male,3,own,NA,moderate,4712,24,business,Some Text
565,23,female,2,rent,moderate,moderate,1553,24,radio/TV,Some Text
566,36,male,2,own,little,little,1372,12,car,Some Text
567,34,male,2,own,rich,NA,2578,24,radio/TV,Some Text
568,41,male,2,own,NA,moderate,3979,48,radio/TV,Some Text
569,31,female,2,own,little,little,6758,48,radio/TV,Some Text
570,23,female,1,rent,little,little,3234,24,furniture/equipment,Some Text
571,38,male,2,own,little,NA,5954,30,radio/TV,Some Text
572,26,female,3,rent,NA,NA,5433,24,car,Some Text
573,22,female,1,own,little,little,806,15,business,Some Text
574,27,male,1,own,little,moderate,1082,9,radio/TV,Some Text
575,24,female,2,own,little,NA,2788,15,furniture/equipment,Some Text
576,27,female,2,own,little,moderate,2930,12,radio/TV,Some Text
577,33,female,2,own,NA,NA,1927,24,education,Some Text
578,27,male,2,own,little,moderate,2820,36,car,Some Text
579,27,male,1,own,little,NA,937,24,education,Some Text
580,30,male,2,own,little,moderate,1056,18,car,Some Text
581,49,male,1,own,little,moderate,3124,12,car,Some Text
582,26,female,2,rent,little,NA,1388,9,furniture/equipment,Some Text
583,33,male,1,rent,little,moderate,2384,36,repairs,Some Text
584,52,female,3,free,NA,NA,2133,12,car,Some Text
585,20,female,2,rent,little,little,2039,18,furniture/equipment,Some Text
586,36,male,2,rent,little,little,2799,9,car,Some Text
587,21,male,1,own,little,little,1289,12,furniture/equipment,Some Text
588,47,male,1,own,little,little,1217,18,domestic appliances,Some Text
589,60,male,2,own,little,little,2246,12,furniture/equipment,Some Text
590,58,female,1,own,little,little,385,12,radio/TV,Some Text
591,42,female,2,rent,NA,moderate,1965,24,car,Some Text
592,36,female,1,own,rich,NA,1572,21,business,Some Text
593,20,female,1,rent,little,moderate,2718,24,car,Some Text
594,40,male,3,own,NA,little,1358,24,vacation/others,Some Text
595,32,female,1,own,moderate,moderate,931,6,car,Some Text
596,23,female,2,rent,little,little,1442,24,car,Some Text
597,36,male,1,own,little,moderate,4241,24,business,Some Text
598,31,male,2,own,little,NA,2775,18,car,Some Text
599,32,male,2,free,little,NA,3863,24,business,Some Text
600,45,female,2,own,little,moderate,2329,7,radio/TV,Some Text
601,30,female,2,own,little,moderate,918,9,furniture/equipment,Some Text
602,34,female,1,free,little,moderate,1837,24,education,Some Text
603,28,female,3,own,little,NA,3349,36,furniture/equipment,Some Text
604,23,female,2,own,little,rich,1275,10,furniture/equipment,Some Text
605,22,male,2,own,quite rich,little,2828,24,furniture/equipment,Some Text
606,74,male,3,own,little,NA,4526,24,business,Some Text
607,50,female,2,free,moderate,moderate,2671,36,radio/TV,Some Text
608,33,male,2,own,little,NA,2051,18,radio/TV,Some Text
609,45,male,2,free,NA,NA,1300,15,car,Some Text
610,22,female,2,own,moderate,little,741,12,domestic appliances,Some Text
611,48,female,1,free,moderate,rich,1240,10,car,Some Text
612,29,female,2,own,rich,little,3357,21,radio/TV,Some Text
613,22,female,2,rent,little,little,3632,24,car,Some Text
614,22,female,2,own,little,NA,1808,18,furniture/equipment,Some Text
615,48,male,3,own,NA,moderate,12204,48,business,Some Text
616,27,male,3,free,NA,moderate,9157,60,radio/TV,Some Text
617,37,male,2,rent,little,little,3676,6,car,Some Text
618,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,Some Text
619,49,male,1,own,little,NA,640,12,car,Some Text
620,27,male,2,own,little,moderate,3652,21,business,Some Text
621,32,male,2,own,little,NA,1530,18,car,Some Text
622,38,male,2,own,NA,NA,3914,48,business,Some Text
623,22,female,2,rent,little,little,1858,12,furniture/equipment,Some Text
624,65,male,2,free,little,little,2600,18,radio/TV,Some Text
625,35,male,2,own,NA,NA,1979,15,radio/TV,Some Text
626,41,male,2,own,little,rich,2116,6,furniture/equipment,Some Text
627,29,male,2,own,moderate,moderate,1437,9,car,Some Text
628,36,male,2,own,quite rich,NA,4042,42,furniture/equipment,Some Text
629,64,male,1,own,NA,NA,3832,9,education,Some Text
630,28,female,2,own,little,little,3660,24,radio/TV,Some Text
631,44,male,2,own,little,little,1553,18,furniture/equipment,Some Text
632,23,male,2,own,NA,moderate,1444,15,radio/TV,Some Text
633,19,female,2,rent,little,NA,1980,9,furniture/equipment,Some Text
634,25,female,1,own,little,moderate,1355,24,car,Some Text
635,47,male,2,own,little,NA,1393,12,education,Some Text
636,28,female,2,own,quite rich,NA,1376,24,radio/TV,Some Text
637,21,male,2,own,little,NA,15653,60,radio/TV,Some Text
638,34,female,2,own,little,NA,1493,12,radio/TV,Some Text
639,26,male,2,own,little,little,4370,42,radio/TV,Some Text
640,27,female,0,own,little,little,750,18,education,Some Text
641,38,male,1,own,little,moderate,1308,15,repairs,Some Text
642,40,male,3,own,moderate,NA,4623,15,education,Some Text
643,33,male,2,own,little,NA,1851,24,radio/TV,Some Text
644,32,male,3,own,little,little,1880,18,radio/TV,Some Text
645,27,male,2,rent,NA,NA,7980,36,business,Some Text
646,32,male,2,own,little,little,4583,30,furniture/equipment,Some Text
647,26,female,2,own,quite rich,NA,1386,12,car,Some Text
648,38,male,2,free,little,rich,947,24,car,Some Text
649,40,male,1,rent,little,little,684,12,education,Some Text
650,50,male,3,free,little,little,7476,48,education,Some Text
651,37,male,1,own,little,moderate,1922,12,furniture/equipment,Some Text
652,45,male,2,own,little,little,2303,24,car,Some Text
653,42,male,3,own,moderate,moderate,8086,36,car,Some Text
654,35,male,2,own,little,NA,2346,24,car,Some Text
655,22,male,2,free,little,little,3973,14,car,Some Text
656,41,male,1,own,little,moderate,888,12,car,Some Text
657,37,male,2,own,NA,NA,10222,48,radio/TV,Some Text
658,28,female,2,own,little,moderate,4221,30,business,Some Text
659,41,male,2,own,little,moderate,6361,18,furniture/equipment,Some Text
660,23,male,2,rent,little,rich,1297,12,radio/TV,Some Text
661,23,male,2,own,NA,little,900,12,car,Some Text
662,50,male,2,own,little,NA,2241,21,furniture/equipment,Some Text
663,35,male,3,own,little,moderate,1050,6,furniture/equipment,Some Text
664,50,female,1,own,little,rich,1047,6,education,Some Text
665,27,male,3,own,little,NA,6314,24,vacation/others,Some Text
666,34,male,2,own,rich,moderate,3496,30,furniture/equipment,Some Text
667,27,female,2,own,little,NA,3609,48,business,Some Text
668,43,male,2,rent,little,little,4843,12,car,Some Text
669,47,male,2,own,little,rich,3017,30,radio/TV,Some Text
670,27,male,1,own,moderate,NA,4139,24,business,Some Text
671,31,male,2,own,moderate,NA,5742,36,business,Some Text
672,42,male,3,own,little,NA,10366,60,car,Some Text
673,24,male,2,own,quite rich,NA,2080,6,car,Some Text
674,41,male,1,own,quite rich,NA,2580,21,business,Some Text
675,26,female,3,rent,little,NA,4530,30,radio/TV,Some Text
676,33,male,2,own,little,NA,5150,24,furniture/equipment,Some Text
677,24,male,2,own,moderate,moderate,5595,72,radio/TV,Some Text
678,64,male,1,rent,little,little,2384,24,radio/TV,Some Text
679,26,female,2,own,little,NA,1453,18,radio/TV,Some Text
680,56,female,2,own,little,NA,1538,6,education,Some Text
681,37,male,2,free,NA,NA,2279,12,radio/TV,Some Text
682,33,male,2,own,little,NA,1478,15,radio/TV,Some Text
683,47,male,2,free,little,NA,5103,24,radio/TV,Some Text
684,31,male,1,own,moderate,moderate,9857,36,business,Some Text
685,34,male,2,free,NA,NA,6527,60,car,Some Text
686,27,male,2,own,NA,rich,1347,10,radio/TV,Some Text
687,30,male,2,free,moderate,moderate,2862,36,car,Some Text
688,35,male,2,own,moderate,NA,2753,9,radio/TV,Some Text
689,31,male,2,own,rich,little,3651,12,car,Some Text
690,25,male,2,own,little,little,975,15,furniture/equipment,Some Text
691,25,female,1,own,moderate,moderate,2631,15,repairs,Some Text
692,29,male,2,own,moderate,moderate,2896,24,radio/TV,Some Text
693,44,male,1,own,NA,little,4716,6,car,Some Text
694,28,male,2,own,little,NA,2284,24,radio/TV,Some Text
695,50,male,2,rent,quite rich,NA,1236,6,car,Some Text
696,29,male,2,own,little,moderate,1103,12,radio/TV,Some Text
697,38,female,0,own,little,NA,926,12,car,Some Text
698,24,male,2,own,little,NA,1800,18,radio/TV,Some Text
699,40,male,3,rent,little,rich,1905,15,education,Some Text
700,29,female,1,rent,quite rich,NA,1123,12,furniture/equipment,Some Text
701,46,male,2,free,little,little,6331,48,car,Some Text
702,47,female,2,free,moderate,rich,1377,24,radio/TV,Some Text
703,41,male,2,own,moderate,moderate,2503,30,business,Some Text
704,32,female,2,own,little,moderate,2528,27,business,Some Text
705,35,female,2,free,quite rich,NA,5324,15,car,Some Text
706,24,male,2,own,moderate,moderate,6560,48,car,Some Text
707,25,female,2,rent,little,moderate,2969,12,furniture/equipment,Some Text
708,25,female,2,own,little,moderate,1206,9,radio/TV,Some Text
709,37,male,1,own,little,moderate,2118,9,radio/TV,Some Text
710,32,male,3,own,quite rich,NA,629,18,radio/TV,Some Text
711,35,female,2,free,little,little,1198,6,education,Some Text
712,46,male,3,own,NA,NA,2476,21,car,Some Text
713,25,male,1,own,little,little,1138,9,radio/TV,Some Text
714,27,male,3,own,little,moderate,14027,60,car,Some Text
715,63,male,2,own,NA,NA,7596,30,car,Some Text
716,40,male,2,own,NA,NA,3077,30,radio/TV,Some Text
717,32,male,3,free,little,NA,1505,18,radio/TV,Some Text
718,31,male,2,own,NA,rich,3148,24,radio/TV,Some Text
719,31,male,2,own,moderate,moderate,6148,20,car,Some Text
720,34,male,3,own,little,rich,1337,9,radio/TV,Some Text
721,24,female,2,rent,rich,moderate,433,6,education,Some Text
722,24,female,1,own,little,little,1228,12,car,Some Text
723,66,female,1,own,quite rich,moderate,790,9,radio/TV,Some Text
724,21,female,2,rent,little,NA,2570,27,car,Some Text
725,41,female,1,own,rich,NA,250,6,car,Some Text
726,47,male,1,own,quite rich,NA,1316,15,radio/TV,Some Text
727,25,female,2,rent,little,little,1882,18,radio/TV,Some Text
728,59,female,2,rent,little,moderate,6416,48,business,Some Text
729,36,male,2,own,rich,rich,1275,24,business,Some Text
730,33,male,2,own,little,moderate,6403,24,radio/TV,Some Text
731,21,male,1,rent,little,little,1987,24,radio/TV,Some Text
732,44,female,1,own,little,moderate,760,8,radio/TV,Some Text
733,28,female,2,rent,rich,NA,2603,24,car,Some Text
734,37,female,2,own,little,NA,3380,4,car,Some Text
735,29,female,0,own,NA,moderate,3990,36,domestic appliances,Some Text
736,23,female,3,rent,little,moderate,11560,24,car,Some Text
737,35,male,1,own,moderate,little,4380,18,car,Some Text
738,45,male,3,own,little,NA,6761,6,car,Some Text
739,26,female,1,rent,moderate,moderate,4280,30,business,Some Text
740,32,male,2,own,moderate,little,2325,24,car,Some Text
741,23,male,1,own,little,moderate,1048,10,radio/TV,Some Text
742,41,male,2,own,NA,NA,3160,21,radio/TV,Some Text
743,22,male,2,own,quite rich,little,2483,24,furniture/equipment,Some Text
744,30,male,3,own,NA,little,14179,39,furniture/equipment,Some Text
745,28,male,1,own,little,little,1797,13,business,Some Text
746,23,female,2,rent,little,little,2511,15,car,Some Text
747,37,female,1,own,little,little,1274,12,car,Some Text
748,26,male,2,own,NA,NA,5248,21,car,Some Text
749,33,male,2,own,little,NA,3029,15,car,Some Text
750,49,female,2,own,little,little,428,6,furniture/equipment,Some Text
751,23,female,1,own,little,little,976,18,car,Some Text
752,23,female,1,rent,moderate,moderate,841,12,business,Some Text
753,25,female,2,own,little,NA,5771,30,radio/TV,Some Text
754,55,male,2,free,rich,NA,1555,12,repairs,Some Text
755,32,female,2,rent,NA,little,1285,24,car,Some Text
756,74,male,0,own,little,rich,1299,6,car,Some Text
757,39,male,2,free,NA,rich,1271,15,radio/TV,Some Text
758,31,male,2,own,little,NA,1393,24,car,Some Text
759,35,male,2,own,little,little,691,12,car,Some Text
760,59,female,2,own,NA,NA,5045,15,car,Some Text
761,24,female,2,rent,little,little,2124,18,furniture/equipment,Some Text
762,24,male,1,own,little,little,2214,12,radio/TV,Some Text
763,30,male,3,free,NA,NA,12680,21,car,Some Text
764,27,male,2,own,moderate,NA,2463,24,car,Some Text
765,40,male,1,own,little,moderate,1155,12,radio/TV,Some Text
766,31,male,1,own,little,little,3108,30,furniture/equipment,Some Text
767,31,female,2,rent,NA,NA,2901,10,car,Some Text
768,28,male,2,rent,little,moderate,3617,12,furniture/equipment,Some Text
769,63,male,1,own,little,NA,1655,12,radio/TV,Some Text
770,26,female,2,rent,NA,little,2812,24,car,Some Text
771,25,female,3,own,little,little,8065,36,education,Some Text
772,36,male,3,own,little,NA,3275,21,car,Some Text
773,52,male,2,own,moderate,NA,2223,24,radio/TV,Some Text
774,66,male,0,free,quite rich,rich,1480,12,car,Some Text
775,25,female,2,rent,NA,little,1371,24,car,Some Text
776,37,male,2,own,little,NA,3535,36,car,Some Text
777,25,female,2,own,little,little,3509,18,radio/TV,Some Text
778,38,male,3,own,rich,NA,5711,36,car,Some Text
779,67,female,2,own,little,moderate,3872,18,repairs,Some Text
780,25,male,2,own,little,moderate,4933,39,radio/TV,Some Text
781,60,male,2,own,rich,NA,1940,24,car,Some Text
782,31,male,1,own,little,moderate,1410,12,education,Some Text
783,23,female,1,own,moderate,moderate,836,12,car,Some Text
784,60,male,3,own,NA,moderate,6468,20,car,Some Text
785,35,male,1,own,rich,moderate,1941,18,business,Some Text
786,40,male,2,own,quite rich,NA,2675,22,radio/TV,Some Text
787,38,male,2,own,NA,NA,2751,48,car,Some Text
788,50,male,2,free,little,moderate,6224,48,education,Some Text
789,27,male,2,own,little,little,5998,40,education,Some Text
790,39,female,2,own,little,moderate,1188,21,business,Some Text
791,41,male,3,own,NA,NA,6313,24,car,Some Text
792,27,male,2,own,NA,NA,1221,6,furniture/equipment,Some Text
793,51,male,2,free,little,rich,2892,24,furniture/equipment,Some Text
794,32,male,2,rent,quite rich,NA,3062,24,furniture/equipment,Some Text
795,22,female,2,rent,moderate,NA,2301,9,furniture/equipment,Some Text
796,51,male,2,free,NA,little,7511,18,car,Some Text
797,22,female,1,rent,little,NA,1258,12,furniture/equipment,Some Text
798,54,male,2,own,NA,NA,717,24,car,Some Text
799,35,male,0,own,NA,moderate,1549,9,car,Some Text
800,54,male,2,free,little,NA,1597,24,education,Some Text
801,48,female,1,rent,little,moderate,1795,18,radio/TV,Some Text
802,24,female,2,own,little,little,4272,20,furniture/equipment,Some Text
803,35,male,2,own,NA,NA,976,12,radio/TV,Some Text
804,24,female,0,rent,NA,moderate,7472,12,car,Some Text
805,24,male,2,own,little,little,9271,36,car,Some Text
806,26,male,1,own,little,moderate,590,6,radio/TV,Some Text
807,65,male,2,own,NA,NA,930,12,radio/TV,Some Text
808,55,male,3,free,little,moderate,9283,42,car,Some Text
809,26,female,0,rent,little,moderate,1778,15,car,Some Text
810,26,male,2,own,little,moderate,907,8,business,Some Text
811,28,male,1,own,little,moderate,484,6,radio/TV,Some Text
812,24,male,2,own,little,little,9629,36,car,Some Text
813,54,male,2,own,little,little,3051,48,domestic appliances,Some Text
814,46,male,2,free,little,little,3931,48,car,Some Text
815,54,female,2,rent,little,moderate,7432,36,car,Some Text
816,62,male,2,own,quite rich,NA,1338,6,domestic appliances,Some Text
817,24,female,2,rent,little,NA,1554,6,radio/TV,Some Text
818,43,male,3,own,little,little,15857,36,vacation/others,Some Text
819,26,male,2,own,little,little,1345,18,radio/TV,Some Text
820,27,male,2,own,little,NA,1101,12,car,Some Text
821,24,male,2,own,little,rich,3016,12,radio/TV,Some Text
822,41,male,2,own,little,little,2712,36,furniture/equipment,Some Text
823,47,male,1,own,little,little,731,8,car,Some Text
824,35,male,3,own,little,NA,3780,18,furniture/equipment,Some Text
825,30,male,2,own,little,little,1602,21,car,Some Text
826,33,female,2,rent,little,little,3966,18,car,Some Text
827,36,male,2,own,little,NA,4165,18,business,Some Text
828,47,male,2,free,NA,little,8335,36,car,Some Text
829,38,male,2,free,NA,moderate,6681,48,business,Some Text
830,44,male,2,own,quite rich,NA,2375,24,business,Some Text
831,23,female,2,rent,little,little,1216,18,car,Some Text
832,29,male,2,rent,little,little,11816,45,business,Some Text
833,42,female,2,own,NA,moderate,5084,24,radio/TV,Some Text
834,25,female,1,own,little,rich,2327,15,radio/TV,Some Text
835,48,male,2,own,little,little,1082,12,car,Some Text
836,21,female,2,own,NA,NA,886,12,radio/TV,Some Text
837,23,female,1,rent,little,NA,601,4,furniture/equipment,Some Text
838,63,male,2,own,little,little,2957,24,car,Some Text
839,46,male,2,own,little,NA,2611,24,radio/TV,Some Text
840,29,male,2,own,little,little,5179,36,furniture/equipment,Some Text
841,28,male,1,own,little,NA,2993,21,car,Some Text
842,23,female,2,own,little,NA,1943,18,repairs,Some Text
843,50,male,2,own,little,NA,1559,24,business,Some Text
844,47,male,2,own,little,NA,3422,18,furniture/equipment,Some Text
845,35,male,2,own,NA,moderate,3976,21,furniture/equipment,Some Text
846,68,male,2,rent,NA,NA,6761,18,car,Some Text
847,28,male,2,own,little,NA,1249,24,car,Some Text
848,59,male,2,own,little,little,1364,9,radio/TV,Some Text
849,57,male,1,own,little,little,709,12,radio/TV,Some Text
850,33,male,2,rent,little,little,2235,20,car,Some Text
851,43,male,2,own,NA,NA,4042,24,car,Some Text
852,35,male,2,free,little,NA,1471,15,radio/TV,Some Text
853,32,male,1,free,little,little,1442,18,car,Some Text
854,45,male,2,own,little,NA,10875,36,car,Some Text
855,33,male,2,own,moderate,NA,1474,24,car,Some Text
856,40,female,2,own,NA,NA,894,10,education,Some Text
857,28,male,2,free,little,NA,3343,15,furniture/equipment,Some Text
858,29,female,2,own,little,little,3959,15,car,Some Text
859,26,male,2,rent,moderate,NA,3577,9,car,Some Text
860,27,male,2,own,rich,NA,5804,24,car,Some Text
861,28,male,2,own,little,NA,2169,18,business,Some Text
862,35,female,2,own,little,little,2439,24,radio/TV,Some Text
863,32,male,1,own,rich,NA,4526,27,furniture/equipment,Some Text
864,25,male,1,rent,little,NA,2210,10,furniture/equipment,Some Text
865,20,female,2,rent,quite rich,NA,2221,15,furniture/equipment,Some Text
866,27,female,2,own,little,little,2389,18,radio/TV,Some Text
867,42,male,2,own,little,NA,3331,12,furniture/equipment,Some Text
868,37,male,2,own,NA,NA,7409,36,business,Some Text
869,24,female,2,rent,little,little,652,12,furniture/equipment,Some Text
870,40,female,2,own,quite rich,NA,7678,36,furniture/equipment,Some Text
871,46,male,2,own,little,rich,1343,6,car,Some Text
872,26,male,2,own,moderate,little,1382,24,business,Some Text
873,24,female,2,own,NA,NA,874,15,domestic appliances,Some Text
874,29,male,1,own,little,little,3590,12,furniture/equipment,Some Text
875,40,female,2,own,rich,moderate,1322,11,car,Some Text
876,36,male,3,free,little,little,1940,18,radio/TV,Some Text
877,28,male,2,own,little,NA,3595,36,radio/TV,Some Text
878,27,male,3,free,little,little,1422,9,car,Some Text
879,36,male,2,own,NA,NA,6742,30,radio/TV,Some Text
880,38,male,3,own,little,NA,7814,24,car,Some Text
881,48,male,2,free,NA,NA,9277,24,car,Some Text
882,36,male,2,own,NA,moderate,2181,30,car,Some Text
883,65,female,0,own,little,NA,1098,18,radio/TV,Some Text
884,43,male,2,own,little,moderate,4057,24,furniture/equipment,Some Text
885,53,female,2,own,little,little,795,12,education,Some Text
886,34,male,2,own,NA,moderate,2825,24,business,Some Text
887,23,male,2,own,little,moderate,15672,48,business,Some Text
888,34,male,3,own,little,NA,6614,36,car,Some Text
889,40,male,2,rent,NA,NA,7824,28,car,Some Text
890,43,male,3,own,little,little,2442,27,business,Some Text
891,46,male,2,own,little,NA,1829,15,radio/TV,Some Text
892,38,male,1,own,little,little,2171,12,car,Some Text
893,34,male,2,own,little,moderate,5800,36,car,Some Text
894,29,male,2,own,NA,NA,1169,18,radio/TV,Some Text
895,31,male,3,own,NA,NA,8947,36,car,Some Text
896,28,female,3,rent,little,little,2606,21,radio/TV,Some Text
897,35,female,2,own,rich,NA,1592,12,furniture/equipment,Some Text
898,33,female,1,rent,NA,NA,2186,15,furniture/equipment,Some Text
899,42,male,2,own,little,little,4153,18,furniture/equipment,Some Text
900,43,male,2,rent,little,little,2625,16,car,Some Text
901,44,male,2,own,NA,NA,3485,20,car,Some Text
902,42,male,2,free,NA,NA,10477,36,car,Some Text
903,40,male,2,rent,NA,NA,1386,15,radio/TV,Some Text
904,36,male,3,own,little,NA,1278,24,radio/TV,Some Text
905,20,male,3,rent,little,little,1107,12,radio/TV,Some Text
906,24,male,1,own,NA,little,3763,21,car,Some Text
907,27,male,2,own,NA,moderate,3711,36,education,Some Text
908,46,female,1,own,little,NA,3594,15,car,Some Text
909,33,female,1,own,NA,moderate,3195,9,car,Some Text
910,34,female,2,own,little,NA,4454,36,radio/TV,Some Text
911,25,female,1,own,little,moderate,4736,24,furniture/equipment,Some Text
912,25,female,2,own,NA,moderate,2991,30,radio/TV,Some Text
913,28,male,2,own,rich,NA,2142,11,business,Some Text
914,31,male,2,rent,little,little,3161,24,business,Some Text
915,32,female,3,own,little,moderate,18424,48,vacation/others,Some Text
916,32,male,2,own,moderate,NA,2848,10,car,Some Text
917,68,male,3,own,little,little,14896,6,car,Some Text
918,33,male,2,own,moderate,little,2359,24,furniture/equipment,Some Text
919,39,male,3,rent,little,little,3345,24,furniture/equipment,Some Text
920,28,female,2,own,little,NA,1817,18,furniture/equipment,Some Text
921,37,male,3,own,quite rich,NA,12749,48,radio/TV,Some Text
922,22,female,2,rent,little,little,1366,9,radio/TV,Some Text
923,30,male,2,rent,little,moderate,2002,12,car,Some Text
924,55,male,2,own,little,little,6872,24,furniture/equipment,Some Text
925,46,male,2,own,little,little,697,12,car,Some Text
