,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,0,0,Berry
418,31,female,3,own,quite rich,NA,2782,21,car,0,1,Berry
419,33,female,2,own,NA,moderate,1042,18,car,0,1,Berry
420,20,female,2,rent,rich,NA,3186,15,car,0,0,Berry
421,30,male,2,own,NA,moderate,2028,12,car,0,1,Berry
422,47,male,1,own,little,moderate,958,12,car,0,1,Berry
423,34,male,3,own,moderate,NA,1591,21,furniture/equipment,0,1,Berry
424,25,female,2,own,NA,moderate,2762,12,furniture/equipment,0,1,Berry
425,21,male,2,rent,little,moderate,2779,18,car,0,0,Berry
426,29,male,2,own,little,NA,2743,28,radio/TV,0,1,Berry
427,46,male,2,own,rich,NA,1149,18,radio/TV,0,1,Berry
428,20,male,2,own,little,NA,1313,9,furniture/equipment,0,1,Berry
429,55,female,0,free,little,little,1190,18,repairs,0,0,Berry
430,74,male,1,own,little,NA,3448,5,business,0,1,Berry
431,29,male,3,own,little,moderate,11328,24,vacation/others,0,1,Berry
432,36,male,3,free,little,little,1872,6,furniture/equipment,0,0,Berry
433,33,male,2,own,little,NA,2058,24,repairs,0,1,Berry
434,25,male,2,own,little,little,2136,9,furniture/equipment,0,1,Berry
435,25,male,2,own,NA,moderate,1484,12,radio/TV,0,1,Berry
436,23,male,1,rent,quite rich,NA,660,6,repairs,0,0,Berry
437,37,female,2,own,rich,NA,1287,24,car,0,1,Berry
438,65,male,0,own,little,little,3394,42,repairs,0,1,Berry
439,26,female,0,own,little,rich,609,12,business,0,1,Berry
440,39,male,3,own,little,NA,1884,12,car,0,1,Berry
441,30,female,2,own,little,little,1620,12,furniture/equipment,0,1,Berry
442,29,male,2,own,little,moderate,2629,20,vacation/others,0,1,Berry
443,41,male,1,own,little,NA,719,12,education,1,1,Berry
444,30,female,3,own,little,moderate,5096,48,furniture/equipment,0,1,Berry
445,41,female,1,rent,NA,NA,1244,9,education,1,0,Berry
446,34,female,2,own,little,little,1842,36,car,0,1,Berry
447,35,male,2,own,little,moderate,2576,7,radio/TV,0,1,Berry
448,55,female,3,own,NA,rich,1424,12,furniture/equipment,0,1,Berry
449,61,male,2,own,rich,moderate,1512,15,repairs,0,1,Berry
450,30,male,3,own,NA,NA,11054,36,car,0,1,Berry
451,29,female,2,own,little,NA,518,6,radio/TV,0,1,Berry
452,34,male,2,own,little,NA,2759,12,furniture/equipment,0,1,Berry
453,35,male,3,own,little,NA,2670,24,car,0,1,Berry
454,31,male,2,own,little,little,4817,24,car,0,1,Berry
455,29,female,3,own,little,NA,2679,24,car,0,1,Berry
456,36,male,2,rent,little,little,3905,11,car,0,0,Berry
457,35,male,2,free,little,little,3386,12,car,0,0,Berry
458,27,female,2,own,little,little,343,6,domestic appliances,0,1,Berry
459,32,male,2,own,little,NA,4594,18,radio/TV,0,1,Berry
460,37,male,2,own,little,little,3620,36,furniture/equipment,0,1,Berry
461,36,male,2,own,little,little,1721,15,car,0,1,Berry
462,34,female,3,rent,little,moderate,3017,12,furniture/equipment,0,0,Berry
463,38,male,2,own,NA,moderate,754,12,education,1,1,Berry
464,34,male,2,own,little,NA,1950,18,business,0,1,Berry
465,63,male,2,own,little,little,2924,24,car,0,1,Berry
466,29,female,1,rent,little,little,1659,24,radio/TV,0,0,Berry
467,32,male,2,own,NA,NA,7238,48,radio/TV,0,1,Berry
468,26,female,2,own,little,NA,2764,33,business,0,1,Berry
469,35,male,1,own,little,NA,4679,24,car,0,1,Berry
470,22,male,2,rent,moderate,moderate,3092,24,radio/TV,0,0,Berry
471,23,female,2,own,little,little,448,6,education,1,1,Berry
472,28,male,1,own,little,little,654,9,car,0,1,Berry
473,36,male,3,own,NA,NA,1238,6,education,1,1,Berry
474,33,male,2,own,little,moderate,1245,18,radio/TV,0,1,Berry
475,26,female,2,rent,little,little,3114,18,furniture/equipment,0,0,Berry
476,24,male,2,own,quite rich,NA,2569,39,car,0,1,Berry
477,25,male,2,own,little,rich,5152,24,radio/TV,0,1,Berry
478,39,male,1,own,moderate,moderate,1037,12,business,0,1,Berry
479,44,male,2,own,little,little,1478,15,furniture/equipment,0,1,Berry
480,23,female,1,own,little,moderate,3573,12,radio/TV,0,1,Berry
481,26,male,2,own,little,moderate,1201,24,car,0,1,Berry
482,57,female,2,rent,rich,little,3622,30,furniture/equipment,0,0,Berry
483,30,female,2,own,rich,NA,960,15,furniture/equipment,0,1,Berry
484,44,male,2,own,quite rich,NA,1163,12,car,0,1,Berry
485,47,male,3,own,little,moderate,1209,6,car,0,1,Berry
486,52,male,2,own,little,NA,3077,12,radio/TV,0,1,Berry
487,62,female,2,free,little,NA,3757,24,car,0,0,Berry
488,35,male,1,rent,moderate,NA,1418,10,car,0,0,Berry
489,26,male,2,rent,little,NA,3518,6,car,0,0,Berry
490,26,male,2,own,little,NA,1934,12,radio/TV,0,1,Berry
491,42,female,3,free,little,moderate,8318,27,business,0,0,Berry
492,27,female,2,own,moderate,NA,1237,6,radio/TV,0,1,Berry
493,38,male,2,own,NA,moderate,368,6,radio/TV,0,1,Berry
494,39,male,1,rent,little,little,2122,12,car,0,0,Berry
495,20,male,2,own,NA,little,2996,24,furniture/equipment,0,1,Berry
496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,0,0,Berry
497,40,male,2,own,little,NA,1585,24,furniture/equipment,0,1,Berry
498,32,male,1,own,little,moderate,1301,18,radio/TV,0,1,Berry
499,28,male,2,own,moderate,rich,1323,6,car,0,1,Berry
500,27,female,2,own,little,little,3123,24,car,0,1,Berry
501,42,male,2,free,little,little,5493,36,car,0,0,Berry
502,49,male,2,own,moderate,rich,1126,9,radio/TV,0,1,Berry
503,38,male,2,own,moderate,moderate,1216,24,radio/TV,0,1,Berry
504,24,female,2,rent,little,little,1207,24,car,0,0,Berry
505,27,male,1,own,NA,NA,1309,10,car,0,1,Berry
506,36,male,2,own,quite rich,rich,2360,15,car,0,1,Berry
507,34,male,3,own,moderate,moderate,6850,15,car,0,1,Berry
508,28,male,2,own,little,NA,1413,24,radio/TV,0,1,Berry
509,45,male,3,own,moderate,NA,8588,39,car,0,1,Berry
510,26,male,2,own,little,little,759,12,car,0,1,Berry
511,32,male,3,free,little,NA,4686,36,car,0,0,Berry
512,26,male,2,rent,little,rich,2687,15,business,0,0,Berry
513,20,male,2,rent,little,moderate,585,12,radio/TV,0,0,Berry
514,54,male,2,own,NA,NA,2255,24,car,0,1,Berry
515,37,female,2,own,little,little,609,6,car,0,1,Berry
516,40,male,1,own,little,little,1361,6,car,0,1,Berry
517,23,female,2,rent,little,NA,7127,36,furniture/equipment,0,0,Berry
518,43,male,2,own,moderate,little,1203,6,car,0,1,Berry
519,36,male,2,free,NA,NA,700,6,radio/TV,0,0,Berry
520,44,male,2,free,little,NA,5507,24,repairs,0,0,Berry
521,24,female,2,own,little,little,3190,18,radio/TV,0,1,Berry
522,53,male,2,free,little,little,7119,48,furniture/equipment,0,0,Berry
523,23,female,2,own,moderate,NA,3488,24,car,0,1,Berry
524,26,female,1,own,little,moderate,1113,18,radio/TV,0,1,Berry
525,30,male,2,own,little,moderate,7966,26,car,0,1,Berry
526,31,female,2,own,moderate,NA,1532,15,education,1,1,Berry
527,42,male,1,own,little,NA,1503,4,radio/TV,0,1,Berry
528,31,male,2,rent,little,little,2302,36,radio/TV,0,0,Berry
529,41,male,1,own,little,little,662,6,car,0,1,Berry
530,32,male,2,own,little,moderate,2273,36,education,1,1,Berry
531,28,female,2,rent,moderate,moderate,2631,15,car,0,0,Berry
532,41,male,2,rent,little,NA,1503,12,car,0,0,Berry
533,26,male,2,own,moderate,NA,1311,24,radio/TV,0,1,Berry
534,25,male,2,own,NA,NA,3105,24,radio/TV,0,1,Berry
535,33,male,2,rent,little,rich,2319,21,education,1,0,Berry
536,75,female,3,own,NA,little,1374,6,car,0,1,Berry
537,37,female,2,own,little,moderate,3612,18,furniture/equipment,0,1,Berry
538,42,male,3,free,little,little,7763,48,car,0,0,Berry
539,45,female,1,own,little,rich,3049,18,furniture/equipment,0,1,Berry
540,23,male,2,rent,little,moderate,1534,12,radio/TV,0,0,Berry
541,60,male,2,free,little,NA,2032,24,car,0,0,Berry
542,31,male,2,own,NA,little,6350,30,furniture/equipment,0,1,Berry
543,34,male,1,own,little,rich,2864,18,furniture/equipment,0,1,Berry
544,61,male,1,own,little,NA,1255,12,car,0,1,Berry
545,43,male,2,free,little,little,1333,24,car,0,0,Berry
546,37,female,2,own,little,NA,2022,24,car,0,1,Berry
547,32,male,2,own,little,NA,1552,24,radio/TV,0,1,Berry
548,24,female,1,own,little,little,626,12,radio/TV,0,1,Berry
549,35,male,2,free,NA,NA,8858,48,car,0,0,Berry
550,23,female,2,own,NA,NA,996,12,repairs,0,1,Berry
551,45,male,1,own,quite rich,NA,1750,6,radio/TV,0,1,Berry
552,34,male,2,own,little,little,6999,48,radio/TV,0,1,Berry
553,27,male,2,own,moderate,moderate,1995,12,car,0,1,Berry
554,67,female,3,own,little,moderate,1199,9,education,1,1,Berry
555,22,male,2,own,little,moderate,1331,12,radio/TV,0,1,Berry
556,28,female,2,own,moderate,moderate,2278,18,car,0,1,Berry
557,29,female,2,own,NA,NA,5003,21,car,0,1,Berry
558,27,male,2,own,little,little,3552,24,furniture/equipment,0,1,Berry
559,31,male,1,own,little,moderate,1928,18,furniture/equipment,0,1,Berry
560,49,male,2,free,NA,little,2964,24,car,0,0,Berry
561,24,male,1,rent,little,little,1546,24,radio/TV,0,0,Berry
562,29,female,2,own,little,rich,683,6,radio/TV,0,1,Berry
563,37,male,2,free,NA,moderate,12389,36,car,0,0,Berry
564,37,male,3,own,NA,moderate,4712,24,business,0,1,Berry
565,23,female,2,rent,moderate,moderate,1553,24,radio/TV,0,0,Berry
566,36,male,2,own,little,little,1372,12,car,0,1,Berry
567,34,male,2,own,rich,NA,2578,24,radio/TV,0,1,Berry
568,41,male,2,own,NA,moderate,3979,48,radio/TV,0,1,Berry
569,31,female,2,own,little,little,6758,48,radio/TV,0,1,Berry
570,23,female,1,rent,little,little,3234,24,furniture/equipment,0,0,Berry
571,38,male,2,own,little,NA,5954,30,radio/TV,0,1,Berry
572,26,female,3,rent,NA,NA,5433,24,car,0,0,Berry
573,22,female,1,own,little,little,806,15,business,0,1,Berry
574,27,male,1,own,little,moderate,1082,9,radio/TV,0,1,Berry
575,24,female,2,own,little,NA,2788,15,furniture/equipment,0,1,Berry
576,27,female,2,own,little,moderate,2930,12,radio/TV,0,1,Berry
577,33,female,2,own,NA,NA,1927,24,education,1,1,Berry
578,27,male,2,own,little,moderate,2820,36,car,0,1,Berry
579,27,male,1,own,little,NA,937,24,education,1,1,Berry
580,30,male,2,own,little,moderate,1056,18,car,0,1,Berry
581,49,male,1,own,little,moderate,3124,12,car,0,1,Berry
582,26,female,2,rent,little,NA,1388,9,furniture/equipment,0,0,Berry
583,33,male,1,rent,little,moderate,2384,36,repairs,0,0,Berry
584,52,female,3,free,NA,NA,2133,12,car,0,0,Berry
585,20,female,2,rent,little,little,2039,18,furniture/equipment,0,0,Berry
586,36,male,2,rent,little,little,2799,9,car,0,0,Berry
587,21,male,1,own,little,little,1289,12,furniture/equipment,0,1,Berry
588,47,male,1,own,little,little,1217,18,domestic appliances,0,1,Berry
589,60,male,2,own,little,little,2246,12,furniture/equipment,0,1,Berry
590,58,female,1,own,little,little,385,12,radio/TV,0,1,Berry
591,42,female,2,rent,NA,moderate,1965,24,car,0,0,Berry
592,36,female,1,own,rich,NA,1572,21,business,0,1,Berry
593,20,female,1,rent,little,moderate,2718,24,car,0,0,Berry
594,40,male,3,own,NA,little,1358,24,vacation/others,0,1,Berry
595,32,female,1,own,moderate,moderate,931,6,car,0,1,Berry
596,23,female,2,rent,little,little,1442,24,car,0,0,Berry
597,36,male,1,own,little,moderate,4241,24,business,0,1,Berry
598,31,male,2,own,little,NA,2775,18,car,0,1,Berry
599,32,male,2,free,little,NA,3863,24,business,0,0,Berry
600,45,female,2,own,little,moderate,2329,7,radio/TV,0,1,Berry
601,30,female,2,own,little,moderate,918,9,furniture/equipment,0,1,Berry
602,34,female,1,free,little,moderate,1837,24,education,1,0,Berry
603,28,female,3,own,little,NA,3349,36,furniture/equipment,0,1,Berry
604,23,female,2,own,little,rich,1275,10,furniture/equipment,0,1,Berry
605,22,male,2,own,quite rich,little,2828,24,furniture/equipment,0,1,Berry
606,74,male,3,own,little,NA,4526,24,business,0,1,Berry
607,50,female,2,free,moderate,moderate,2671,36,radio/TV,0,0,Berry
608,33,male,2,own,little,NA,2051,18,radio/TV,0,1,Berry
609,45,male,2,free,NA,NA,1300,15,car,0,0,Berry
610,22,female,2,own,moderate,little,741,12,domestic appliances,0,1,Berry
611,48,female,1,free,moderate,rich,1240,10,car,0,0,Berry
612,29,female,2,own,rich,little,3357,21,radio/TV,0,1,Berry
613,22,female,2,rent,little,little,3632,24,car,0,0,Berry
614,22,female,2,own,little,NA,1808,18,furniture/equipment,0,1,Berry
615,48,male,3,own,NA,moderate,12204,48,business,0,1,Berry
616,27,male,3,free,NA,moderate,9157,60,radio/TV,0,0,Berry
617,37,male,2,rent,little,little,3676,6,car,0,0,Berry
618,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,0,0,Berry
619,49,male,1,own,little,NA,640,12,car,0,1,Berry
620,27,male,2,own,little,moderate,3652,21,business,0,1,Berry
621,32,male,2,own,little,NA,1530,18,car,0,1,Berry
622,38,male,2,own,NA,NA,3914,48,business,0,1,Berry
623,22,female,2,rent,little,little,1858,12,furniture/equipment,0,0,Berry
624,65,male,2,free,little,little,2600,18,radio/TV,0,0,Berry
625,35,male,2,own,NA,NA,1979,15,radio/TV,0,1,Berry
626,41,male,2,own,little,rich,2116,6,furniture/equipment,0,1,Berry
627,29,male,2,own,moderate,moderate,1437,9,car,0,1,Berry
628,36,male,2,own,quite rich,NA,4042,42,furniture/equipment,0,1,Berry
629,64,male,1,own,NA,NA,3832,9,education,1,1,Berry
630,28,female,2,own,little,little,3660,24,radio/TV,0,1,Berry
631,44,male,2,own,little,little,1553,18,furniture/equipment,0,1,Berry
632,23,male,2,own,NA,moderate,1444,15,radio/TV,0,1,Berry
633,19,female,2,rent,little,NA,1980,9,furniture/equipment,0,0,Berry
634,25,female,1,own,little,moderate,1355,24,car,0,1,Berry
635,47,male,2,own,little,NA,1393,12,education,1,1,Berry
636,28,female,2,own,quite rich,NA,1376,24,radio/TV,0,1,Berry
637,21,male,2,own,little,NA,15653,60,radio/TV,0,1,Berry
638,34,female,2,own,little,NA,1493,12,radio/TV,0,1,Berry
639,26,male,2,own,little,little,4370,42,radio/TV,0,1,Berry
640,27,female,0,own,little,little,750,18,education,1,1,Berry
641,38,male,1,own,little,moderate,1308,15,repairs,0,1,Berry
642,40,male,3,own,moderate,NA,4623,15,education,1,1,Berry
643,33,male,2,own,little,NA,1851,24,radio/TV,0,1,Berry
644,32,male,3,own,little,little,1880,18,radio/TV,0,1,Berry
645,27,male,2,rent,NA,NA,7980,36,business,0,0,Berry
646,32,male,2,own,little,little,4583,30,furniture/equipment,0,1,Berry
647,26,female,2,own,quite rich,NA,1386,12,car,0,1,Berry
648,38,male,2,free,little,rich,947,24,car,0,0,Berry
649,40,male,1,rent,little,little,684,12,education,1,0,Berry
650,50,male,3,free,little,little,7476,48,education,1,0,Berry
651,37,male,1,own,little,moderate,1922,12,furniture/equipment,0,1,Berry
652,45,male,2,own,little,little,2303,24,car,0,1,Berry
653,42,male,3,own,moderate,moderate,8086,36,car,0,1,Berry
654,35,male,2,own,little,NA,2346,24,car,0,1,Berry
655,22,male,2,free,little,little,3973,14,car,0,0,Berry
656,41,male,1,own,little,moderate,888,12,car,0,1,Berry
657,37,male,2,own,NA,NA,10222,48,radio/TV,0,1,Berry
658,28,female,2,own,little,moderate,4221,30,business,0,1,Berry
659,41,male,2,own,little,moderate,6361,18,furniture/equipment,0,1,Berry
660,23,male,2,rent,little,rich,1297,12,radio/TV,0,0,Berry
661,23,male,2,own,NA,little,900,12,car,0,1,Berry
662,50,male,2,own,little,NA,2241,21,furniture/equipment,0,1,Berry
663,35,male,3,own,little,moderate,1050,6,furniture/equipment,0,1,Berry
664,50,female,1,own,little,rich,1047,6,education,1,1,Berry
665,27,male,3,own,little,NA,6314,24,vacation/others,0,1,Berry
666,34,male,2,own,rich,moderate,3496,30,furniture/equipment,0,1,Berry
667,27,female,2,own,little,NA,3609,48,business,0,1,Berry
668,43,male,2,rent,little,little,4843,12,car,0,0,Berry
669,47,male,2,own,little,rich,3017,30,radio/TV,0,1,Berry
670,27,male,1,own,moderate,NA,4139,24,business,0,1,Berry
671,31,male,2,own,moderate,NA,5742,36,business,0,1,Berry
672,42,male,3,own,little,NA,10366,60,car,0,1,Berry
673,24,male,2,own,quite rich,NA,2080,6,car,0,1,Berry
674,41,male,1,own,quite rich,NA,2580,21,business,0,1,Berry
675,26,female,3,rent,little,NA,4530,30,radio/TV,0,0,Berry
676,33,male,2,own,little,NA,5150,24,furniture/equipment,0,1,Berry
677,24,male,2,own,moderate,moderate,5595,72,radio/TV,0,1,Berry
678,64,male,1,rent,little,little,2384,24,radio/TV,0,0,Berry
679,26,female,2,own,little,NA,1453,18,radio/TV,0,1,Berry
680,56,female,2,own,little,NA,1538,6,education,1,1,Berry
681,37,male,2,free,NA,NA,2279,12,radio/TV,0,0,Berry
682,33,male,2,own,little,NA,1478,15,radio/TV,0,1,Berry
683,47,male,2,free,little,NA,5103,24,radio/TV,0,0,Berry
684,31,male,1,own,moderate,moderate,9857,36,business,0,1,Berry
685,34,male,2,free,NA,NA,6527,60,car,0,0,Berry
686,27,male,2,own,NA,rich,1347,10,radio/TV,0,1,Berry
687,30,male,2,free,moderate,moderate,2862,36,car,0,0,Berry
688,35,male,2,own,moderate,NA,2753,9,radio/TV,0,1,Berry
689,31,male,2,own,rich,little,3651,12,car,0,1,Berry
690,25,male,2,own,little,little,975,15,furniture/equipment,0,1,Berry
691,25,female,1,own,moderate,moderate,2631,15,repairs,0,1,Berry
692,29,male,2,own,moderate,moderate,2896,24,radio/TV,0,1,Berry
693,44,male,1,own,NA,little,4716,6,car,0,1,Berry
694,28,male,2,own,little,NA,2284,24,radio/TV,0,1,Berry
695,50,male,2,rent,quite rich,NA,1236,6,car,0,0,Berry
696,29,male,2,own,little,moderate,1103,12,radio/TV,0,1,Berry
697,38,female,0,own,little,NA,926,12,car,0,1,Berry
698,24,male,2,own,little,NA,1800,18,radio/TV,0,1,Berry
699,40,male,3,rent,little,rich,1905,15,education,1,0,Berry
700,29,female,1,rent,quite rich,NA,1123,12,furniture/equipment,0,0,Berry
701,46,male,2,free,little,little,6331,48,car,0,0,Berry
702,47,female,2,free,moderate,rich,1377,24,radio/TV,0,0,Berry
703,41,male,2,own,moderate,moderate,2503,30,business,0,1,Berry
704,32,female,2,own,little,moderate,2528,27,business,0,1,Berry
705,35,female,2,free,quite rich,NA,5324,15,car,0,0,Berry
706,24,male,2,own,moderate,moderate,6560,48,car,0,1,Berry
707,25,female,2,rent,little,moderate,2969,12,furniture/equipment,0,0,Berry
708,25,female,2,own,little,moderate,1206,9,radio/TV,0,1,Berry
709,37,male,1,own,little,moderate,2118,9,radio/TV,0,1,Berry
710,32,male,3,own,quite rich,NA,629,18,radio/TV,0,1,Berry
711,35,female,2,free,little,little,1198,6,education,1,0,Berry
712,46,male,3,own,NA,NA,2476,21,car,0,1,Berry
713,25,male,1,own,little,little,1138,9,radio/TV,0,1,Berry
714,27,male,3,own,little,moderate,14027,60,car,0,1,Berry
715,63,male,2,own,NA,NA,7596,30,car,0,1,Berry
716,40,male,2,own,NA,NA,3077,30,radio/TV,0,1,Berry
717,32,male,3,free,little,NA,1505,18,radio/TV,0,0,Berry
718,31,male,2,own,NA,rich,3148,24,radio/TV,0,1,Berry
719,31,male,2,own,moderate,moderate,6148,20,car,0,1,Berry
720,34,male,3,own,little,rich,1337,9,radio/TV,0,1,Berry
721,24,female,2,rent,rich,moderate,433,6,education,1,0,Berry
722,24,female,1,own,little,little,1228,12,car,0,1,Berry
723,66,female,1,own,quite rich,moderate,790,9,radio/TV,0,1,Berry
724,21,female,2,rent,little,NA,2570,27,car,0,0,Berry
725,41,female,1,own,rich,NA,250,6,car,0,1,Berry
726,47,male,1,own,quite rich,NA,1316,15,radio/TV,0,1,Berry
727,25,female,2,rent,little,little,1882,18,radio/TV,0,0,Berry
728,59,female,2,rent,little,moderate,6416,48,business,0,0,Berry
729,36,male,2,own,rich,rich,1275,24,business,0,1,Berry
730,33,male,2,own,little,moderate,6403,24,radio/TV,0,1,Berry
731,21,male,1,rent,little,little,1987,24,radio/TV,0,0,Berry
732,44,female,1,own,little,moderate,760,8,radio/TV,0,1,Berry
733,28,female,2,rent,rich,NA,2603,24,car,0,0,Berry
734,37,female,2,own,little,NA,3380,4,car,0,1,Berry
735,29,female,0,own,NA,moderate,3990,36,domestic appliances,0,1,Berry
736,23,female,3,rent,little,moderate,11560,24,car,0,0,Berry
737,35,male,1,own,moderate,little,4380,18,car,0,1,Berry
738,45,male,3,own,little,NA,6761,6,car,0,1,Berry
739,26,female,1,rent,moderate,moderate,4280,30,business,0,0,Berry
740,32,male,2,own,moderate,little,2325,24,car,0,1,Berry
741,23,male,1,own,little,moderate,1048,10,radio/TV,0,1,Berry
742,41,male,2,own,NA,NA,3160,21,radio/TV,0,1,Berry
743,22,male,2,own,quite rich,little,2483,24,furniture/equipment,0,1,Berry
744,30,male,3,own,NA,little,14179,39,furniture/equipment,0,1,Berry
745,28,male,1,own,little,little,1797,13,business,0,1,Berry
746,23,female,2,rent,little,little,2511,15,car,0,0,Berry
747,37,female,1,own,little,little,1274,12,car,0,1,Berry
748,26,male,2,own,NA,NA,5248,21,car,0,1,Berry
749,33,male,2,own,little,NA,3029,15,car,0,1,Berry
750,49,female,2,own,little,little,428,6,furniture/equipment,0,1,Berry
751,23,female,1,own,little,little,976,18,car,0,1,Berry
752,23,female,1,rent,moderate,moderate,841,12,business,0,0,Berry
753,25,female,2,own,little,NA,5771,30,radio/TV,0,1,Berry
754,55,male,2,free,rich,NA,1555,12,repairs,0,0,Berry
755,32,female,2,rent,NA,little,1285,24,car,0,0,Berry
756,74,male,0,own,little,rich,1299,6,car,0,1,Berry
757,39,male,2,free,NA,rich,1271,15,radio/TV,0,0,Berry
758,31,male,2,own,little,NA,1393,24,car,0,1,Berry
759,35,male,2,own,little,little,691,12,car,0,1,Berry
760,59,female,2,own,NA,NA,5045,15,car,0,1,Berry
761,24,female,2,rent,little,little,2124,18,furniture/equipment,0,0,Berry
762,24,male,1,own,little,little,2214,12,radio/TV,0,1,Berry
763,30,male,3,free,NA,NA,12680,21,car,0,0,Berry
764,27,male,2,own,moderate,NA,2463,24,car,0,1,Berry
765,40,male,1,own,little,moderate,1155,12,radio/TV,0,1,Berry
766,31,male,1,own,little,little,3108,30,furniture/equipment,0,1,Berry
767,31,female,2,rent,NA,NA,2901,10,car,0,0,Berry
768,28,male,2,rent,little,moderate,3617,12,furniture/equipment,0,0,Berry
769,63,male,1,own,little,NA,1655,12,radio/TV,0,1,Berry
770,26,female,2,rent,NA,little,2812,24,car,0,0,Berry
771,25,female,3,own,little,little,8065,36,education,1,1,Berry
772,36,male,3,own,little,NA,3275,21,car,0,1,Berry
773,52,male,2,own,moderate,NA,2223,24,radio/TV,0,1,Berry
774,66,male,0,free,quite rich,rich,1480,12,car,0,0,Berry
775,25,female,2,rent,NA,little,1371,24,car,0,0,Berry
776,37,male,2,own,little,NA,3535,36,car,0,1,Berry
777,25,female,2,own,little,little,3509,18,radio/TV,0,1,Berry
778,38,male,3,own,rich,NA,5711,36,car,0,1,Berry
779,67,female,2,own,little,moderate,3872,18,repairs,0,1,Berry
780,25,male,2,own,little,moderate,4933,39,radio/TV,0,1,Berry
781,60,male,2,own,rich,NA,1940,24,car,0,1,Berry
782,31,male,1,own,little,moderate,1410,12,education,1,1,Berry
783,23,female,1,own,moderate,moderate,836,12,car,0,1,Berry
784,60,male,3,own,NA,moderate,6468,20,car,0,1,Berry
785,35,male,1,own,rich,moderate,1941,18,business,0,1,Berry
786,40,male,2,own,quite rich,NA,2675,22,radio/TV,0,1,Berry
787,38,male,2,own,NA,NA,2751,48,car,0,1,Berry
788,50,male,2,free,little,moderate,6224,48,education,1,0,Berry
789,27,male,2,own,little,little,5998,40,education,1,1,Berry
790,39,female,2,own,little,moderate,1188,21,business,0,1,Berry
791,41,male,3,own,NA,NA,6313,24,car,0,1,Berry
792,27,male,2,own,NA,NA,1221,6,furniture/equipment,0,1,Berry
793,51,male,2,free,little,rich,2892,24,furniture/equipment,0,0,Berry
794,32,male,2,rent,quite rich,NA,3062,24,furniture/equipment,0,0,Berry
795,22,female,2,rent,moderate,NA,2301,9,furniture/equipment,0,0,Berry
796,51,male,2,free,NA,little,7511,18,car,0,0,Berry
797,22,female,1,rent,little,NA,1258,12,furniture/equipment,0,0,Berry
798,54,male,2,own,NA,NA,717,24,car,0,1,Berry
799,35,male,0,own,NA,moderate,1549,9,car,0,1,Berry
800,54,male,2,free,little,NA,1597,24,education,1,0,Berry
801,48,female,1,rent,little,moderate,1795,18,radio/TV,0,0,Berry
802,24,female,2,own,little,little,4272,20,furniture/equipment,0,1,Berry
803,35,male,2,own,NA,NA,976,12,radio/TV,0,1,Berry
804,24,female,0,rent,NA,moderate,7472,12,car,0,0,Berry
805,24,male,2,own,little,little,9271,36,car,0,1,Berry
806,26,male,1,own,little,moderate,590,6,radio/TV,0,1,Berry
807,65,male,2,own,NA,NA,930,12,radio/TV,0,1,Berry
808,55,male,3,free,little,moderate,9283,42,car,0,0,Berry
809,26,female,0,rent,little,moderate,1778,15,car,0,0,Berry
810,26,male,2,own,little,moderate,907,8,business,0,1,Berry
811,28,male,1,own,little,moderate,484,6,radio/TV,0,1,Berry
812,24,male,2,own,little,little,9629,36,car,0,1,Berry
813,54,male,2,own,little,little,3051,48,domestic appliances,0,1,Berry
814,46,male,2,free,little,little,3931,48,car,0,0,Berry
815,54,female,2,rent,little,moderate,7432,36,car,0,0,Berry
816,62,male,2,own,quite rich,NA,1338,6,domestic appliances,0,1,Berry
817,24,female,2,rent,little,NA,1554,6,radio/TV,0,0,Berry
818,43,male,3,own,little,little,15857,36,vacation/others,0,1,Berry
819,26,male,2,own,little,little,1345,18,radio/TV,0,1,Berry
820,27,male,2,own,little,NA,1101,12,car,0,1,Berry
821,24,male,2,own,little,rich,3016,12,radio/TV,0,1,Berry
822,41,male,2,own,little,little,2712,36,furniture/equipment,0,1,Berry
823,47,male,1,own,little,little,731,8,car,0,1,Berry
824,35,male,3,own,little,NA,3780,18,furniture/equipment,0,1,Berry
825,30,male,2,own,little,little,1602,21,car,0,1,Berry
826,33,female,2,rent,little,little,3966,18,car,0,0,Berry
827,36,male,2,own,little,NA,4165,18,business,0,1,Berry
828,47,male,2,free,NA,little,8335,36,car,0,0,Berry
829,38,male,2,free,NA,moderate,6681,48,business,0,0,Berry
830,44,male,2,own,quite rich,NA,2375,24,business,0,1,Berry
831,23,female,2,rent,little,little,1216,18,car,0,0,Berry
832,29,male,2,rent,little,little,11816,45,business,0,0,Berry
833,42,female,2,own,NA,moderate,5084,24,radio/TV,0,1,Berry
834,25,female,1,own,little,rich,2327,15,radio/TV,0,1,Berry
835,48,male,2,own,little,little,1082,12,car,0,1,Berry
836,21,female,2,own,NA,NA,886,12,radio/TV,0,1,Berry
837,23,female,1,rent,little,NA,601,4,furniture/equipment,0,0,Berry
838,63,male,2,own,little,little,2957,24,car,0,1,Berry
839,46,male,2,own,little,NA,2611,24,radio/TV,0,1,Berry
840,29,male,2,own,little,little,5179,36,furniture/equipment,0,1,Berry
841,28,male,1,own,little,NA,2993,21,car,0,1,Berry
